Datetime,Water Level (m)
2023-09-01 06:00:00,1.7442203
2023-09-01 07:00:00,2.209535
2023-09-01 08:00:00,2.3508735
2023-09-01 09:00:00,2.1545775
2023-09-01 10:00:00,1.597344
2023-09-01 11:00:00,0.8869426
2023-09-01 12:00:00,0.14682096
2023-09-01 13:00:00,-0.55898124
2023-09-01 14:00:00,-1.0768552
2023-09-01 15:00:00,-1.3691142
2023-09-01 16:00:00,-0.33852333
2023-09-01 17:00:00,0.72322714
2023-09-01 18:00:00,1.5205038
2023-09-01 19:00:00,2.0646305
2023-09-01 20:00:00,2.3258247
2023-09-01 21:00:00,2.2507067
2023-09-01 22:00:00,1.7686669
2023-09-01 23:00:00,1.089786
2023-09-02 00:00:00,0.3484571
2023-09-02 01:00:00,-0.33771068
2023-09-02 02:00:00,-0.90991104
2023-09-02 03:00:00,-1.2856764
2023-09-02 04:00:00,-0.6086774
2023-09-02 05:00:00,0.54659694
2023-09-02 06:00:00,1.4174849
2023-09-02 07:00:00,2.0730717
2023-09-02 08:00:00,2.417545
2023-09-02 09:00:00,2.454783
2023-09-02 10:00:00,2.0623097
2023-09-02 11:00:00,1.408576
2023-09-02 12:00:00,0.65901345
2023-09-02 13:00:00,-0.02776779
2023-09-02 14:00:00,-0.7356433
2023-09-02 15:00:00,-1.2047429
2023-09-02 16:00:00,-1.0820361
2023-09-02 17:00:00,0.109901935
2023-09-02 18:00:00,1.0425693
2023-09-02 19:00:00,1.7461927
2023-09-02 20:00:00,2.2303321
2023-09-02 21:00:00,2.379857
2023-09-02 22:00:00,2.1792982
2023-09-02 23:00:00,1.6308459
2023-09-03 00:00:00,0.9230775
2023-09-03 01:00:00,0.18283646
2023-09-03 02:00:00,-0.51998734
2023-09-03 03:00:00,-1.0037438
2023-09-03 04:00:00,-1.1845891
2023-09-03 05:00:00,-0.13297701
2023-09-03 06:00:00,0.85344404
2023-09-03 07:00:00,1.5889289
2023-09-03 08:00:00,2.0939963
2023-09-03 09:00:00,2.3311133
2023-09-03 10:00:00,2.2356186
2023-09-03 11:00:00,1.760337
2023-09-03 12:00:00,1.088729
2023-09-03 13:00:00,0.35014784
2023-09-03 14:00:00,-0.32585737
2023-09-03 15:00:00,-0.88901985
2023-09-03 16:00:00,-1.2416563
2023-09-03 17:00:00,-0.62015945
2023-09-03 18:00:00,0.4544056
2023-09-03 19:00:00,1.2802185
2023-09-03 20:00:00,1.8635433
2023-09-03 21:00:00,2.237673
2023-09-03 22:00:00,2.299418
2023-09-03 23:00:00,1.9743892
2023-09-04 00:00:00,1.3863996
2023-09-04 01:00:00,0.6862938
2023-09-04 02:00:00,0.022930762
2023-09-04 03:00:00,-0.63901263
2023-09-04 04:00:00,-1.0445478
2023-09-04 05:00:00,-0.8759055
2023-09-04 06:00:00,0.1359611
2023-09-04 07:00:00,0.9728291
2023-09-04 08:00:00,1.5815921
2023-09-04 09:00:00,2.0175874
2023-09-04 10:00:00,2.166653
2023-09-04 11:00:00,1.9727433
2023-09-04 12:00:00,1.4676776
2023-09-04 13:00:00,0.8046186
2023-09-04 14:00:00,0.11354363
2023-09-04 15:00:00,-0.5224202
2023-09-04 16:00:00,-0.9732524
2023-09-04 17:00:00,-1.035966
2023-09-04 18:00:00,-0.15100805
2023-09-04 19:00:00,0.72255284
2023-09-04 20:00:00,1.3963331
2023-09-04 21:00:00,1.9059175
2023-09-04 22:00:00,2.1783838
2023-09-04 23:00:00,2.1488898
2023-09-05 00:00:00,1.7626759
2023-09-05 01:00:00,1.1681739
2023-09-05 02:00:00,0.50626236
2023-09-05 03:00:00,-0.12027971
2023-09-05 04:00:00,-0.66570026
2023-09-05 05:00:00,-0.9424351
2023-09-05 06:00:00,-0.50307035
2023-09-05 07:00:00,0.3391361
2023-09-05 08:00:00,1.0194533
2023-09-05 09:00:00,1.4857813
2023-09-05 10:00:00,1.8486506
2023-09-05 11:00:00,1.9261796
2023-09-05 12:00:00,1.6558645
2023-09-05 13:00:00,1.1524433
2023-09-05 14:00:00,0.54384786
2023-09-05 15:00:00,-0.05614486
2023-09-05 16:00:00,-0.5888317
2023-09-05 17:00:00,-0.8794979
2023-09-05 18:00:00,-0.6217372
2023-09-05 19:00:00,0.18482746
2023-09-05 20:00:00,0.89132667
2023-09-05 21:00:00,1.4309031
2023-09-05 22:00:00,1.8608408
2023-09-05 23:00:00,2.0566652
2023-09-06 00:00:00,1.982165
2023-09-06 01:00:00,1.6154895
2023-09-06 02:00:00,1.0476636
2023-09-06 03:00:00,0.44193876
2023-09-06 04:00:00,-0.10771636
2023-09-06 05:00:00,-0.47181365
2023-09-06 06:00:00,-0.5351236
2023-09-06 07:00:00,-0.052362043
2023-09-06 08:00:00,0.590547
2023-09-06 09:00:00,1.0791487
2023-09-06 10:00:00,1.464236
2023-09-06 11:00:00,1.7325971
2023-09-06 12:00:00,1.7618927
2023-09-06 13:00:00,1.4968318
2023-09-06 14:00:00,1.0201555
2023-09-06 15:00:00,0.47333
2023-09-06 16:00:00,-0.032235514
2023-09-06 17:00:00,-0.3915152
2023-09-06 18:00:00,-0.539235
2023-09-06 19:00:00,-0.18511844
2023-09-06 20:00:00,0.42088634
2023-09-06 21:00:00,0.9312735
2023-09-06 22:00:00,1.3728449
2023-09-06 23:00:00,1.7345221
2023-09-07 00:00:00,1.8929307
2023-09-07 01:00:00,1.785522
2023-09-07 02:00:00,1.4436373
2023-09-07 03:00:00,0.9432111
2023-09-07 04:00:00,0.41785973
2023-09-07 05:00:00,-0.016406158
2023-09-07 06:00:00,-0.31947604
